1758988801,0,2200.0,Na,2025-09-27 23:01:34.483153
1759035640,2,1800.0,N1,2025-09-28 12:00:58.039879
1759035876,2,1620.0,N2,2025-09-28 12:04:46.657020
1759036122,2,-22331.5,N2,2025-09-28 12:08:54.352243
1759036188,1,445.0,I2,2025-09-28 12:09:56.204988
1759036396,2,450.0,N1,2025-09-28 12:13:24.647026
1759036558,1,225.0,2,2025-09-28 12:16:05.829516
1759036637,1,337.5,O1,2025-09-28 12:17:24.718718
1759036652,0,375.0,O2,2025-09-28 12:17:37.252410
1759036857,1,337.5,O1,2025-09-28 12:21:03.809142
1759036916,1,337.5,A1,2025-09-28 12:22:11.297451
1759037204,1,292.5,A1,2025-09-28 12:26:56.490407
1759037269,1,292.5,A1,2025-09-28 12:27:56.579594
1759037312,1,877.5,A1,2025-09-28 12:28:41.040996
1759037344,1,585.0,A2,2025-09-28 12:29:12.349823
1759037422,2,292.5,A1,2025-09-28 12:30:30.236899
1759037640,1,292.5,A2,2025-09-28 12:34:06.926506
1759037683,1,225.0,A2,2025-09-28 12:34:52.159012
1759037781,1,292.5,A2,2025-09-28 12:36:27.457759
1759037820,1,292.5,A2,2025-09-28 12:37:09.514608
1759037863,1,292.5,A2,2025-09-28 12:37:55.358912
1759038145,1,1350.0,A2,2025-09-28 12:42:35.580195
1759038332,1,1755.0,2,2025-09-28 12:45:38.404771
1759038487,1,5908.5,A1,2025-09-28 12:48:23.156701
1759038532,1,12753.0,A1,2025-09-28 12:49:01.317847
1759038617,1,11173.5,A1,2025-09-28 12:50:27.275261
1759038702,1,5850.0,A1,2025-09-28 12:51:53.160390
1759038734,1,5850.0,A1,2025-09-28 12:52:20.537141
1759038800,1,5850.0,A1,2025-09-28 12:53:27.445416
1759038849,1,5850.0,A2,2025-09-28 12:54:17.581640
1759038896,1,5850.0,A1,2025-09-28 12:55:03.941992
1759039082,1,6435.0,A1,2025-09-28 12:58:49.924038
1759039223,1,5265.0,1,2025-09-28 13:01:42.736844
