1758988801,1,30,1950.0
1758988801,2,5,250.0
1759035640,1,20,1300.0
1759035640,2,10,500.0
1759035876,1,20,1170.0
1759035876,2,10,450.0
1759036122,1,30,1943.5
1759036122,2,1,-275.0
1759036122,3,5,-24000.0
1759036188,2,9,445.0
1759036396,2,10,500.0
1759036558,2,5,250.0
1759036637,3,5,375.0
1759036652,3,5,375.0
1759036857,3,5,375.0
1759036916,3,5,375.0
1759037204,1,5,325.0
1759037269,1,5,325.0
1759037312,1,15,975.0
1759037344,1,10,650.0
1759037422,1,5,325.0
1759037640,1,5,325.0
1759037683,2,5,250.0
1759037781,1,5,325.0
1759037820,1,5,325.0
1759037863,1,5,325.0
1759038145,2,30,1500.0
1759038332,1,30,1950.0
1759038487,1,1,65.0
1759038487,1,100,6500.0
1759038532,1,109,7085.0
1759038532,1,109,7085.0
1759038617,1,191,12415.0
1759038702,1,100,6500.0
1759038734,1,100,6500.0
1759038800,1,100,6500.0
1759038849,1,100,6500.0
1759038896,1,100,6500.0
1759039082,1,100,6500.0
1759039082,1,10,650.0
1759039223,1,90,5850.0
